lamp_id,F3_gc_score,F3_tm_score,F3_delta_g_score,F3_hairpin_score,F2_gc_score,F2_tm_score,F2_delta_g_score,F2_hairpin_score,F1_gc_score,F1_tm_score,F1_delta_g_score,F1_hairpin_score,B1_gc_score,B1_tm_score,B1_delta_g_score,B1_hairpin_score,B2_gc_score,B2_tm_score,B2_delta_g_score,B2_hairpin_score,B3_gc_score,B3_tm_score,B3_delta_g_score,B3_hairpin_score,distance_score,dimer_score
Group_115,0.7,0.51,1,1.0,0.7,0.1,1,1.0,0,0,0,0.5,0.7,0,1,1.0,1.0,0.91,1,1.0,0.7,0.04,1,0.5,0.42,1.0
Group_116,0,0,1,1.0,0,0.02,1,0.5,0,0,1,1.0,0.7,0,1,1.0,1.0,0.91,1,1.0,0.7,0.04,1,0.5,0.43,1.0
Group_117,0.7,0.29,1,1.0,0.7,0.26,1,1.0,1.0,0.39,1,1.0,0,0,1,1.0,0,0.18,1,1.0,0,0,1,1.0,0.35,1.0
Group_118,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,1.0,1.0,0.43,0,1.0,1.0,0.3,1,1.0,0,0.1,1,1.0,0.37,0.67
Group_119,0,0.2,1,1.0,1.0,0.3,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.24,1,1.0,0.7,0.27,1,1.0,0.47,0
Group_120,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,1.0,1.0,0.99,1,1.0,0,0.2,1,1.0,1.0,0.3,1,1.0,0.61,1.0
Group_121,0.7,0.09,1,1.0,0.7,0.49,1,1.0,1.0,0.43,1,1.0,0.7,0.67,1,1.0,0.7,0.51,1,1.0,0.7,0.1,1,1.0,0.49,0.67
Group_122,0.7,0.29,1,1.0,0.7,0.26,1,1.0,0,0,1,1.0,0,0,1,0.5,0.7,0.32,1,1.0,0,0,1,1.0,0.48,1.0
Group_123,0,0.2,1,1.0,1.0,0.3,1,1.0,0,0,1,1.0,0,0,1,0.5,0.7,0.36,1,0.5,0.7,0.27,1,1.0,0.39,1.0
Group_124,0.7,0.29,1,1.0,0.7,0.26,1,1.0,1.0,0.39,1,1.0,0,0,1,0.5,0.7,0.32,1,1.0,0,0,1,1.0,0.41,1.0
Group_125,0.7,0.09,1,1.0,0.7,0.49,1,1.0,1.0,0.43,1,1.0,0,0,1,1.0,0.7,0.1,1,1.0,0,0.18,1,1.0,0.39,1.0
Group_126,0.7,0.09,1,1.0,0.7,0.49,1,1.0,1.0,0.99,1,1.0,0.7,0.67,1,1.0,0.7,0.51,1,1.0,0.7,0.1,1,1.0,0.58,0.67
Group_127,0.7,0.49,1,1.0,1.0,0.76,1,1.0,0,0,0,1.0,0,0,1,1.0,0,0.18,1,1.0,0,0,1,1.0,0.46,1.0
Group_128,0.7,0.51,1,1.0,0.7,0.1,1,1.0,0,0,0,0.5,0.7,0,1,1.0,1.0,0.91,1,1.0,0.7,0.04,1,0.5,0.5,1.0
Group_129,0,0,1,1.0,0,0.02,1,0.5,0,0,1,1.0,0.7,0,1,1.0,1.0,0.91,1,1.0,0.7,0.04,1,0.5,0.51,1.0
Group_130,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,1.0,1.0,0.43,0,1.0,1.0,0.3,1,1.0,0,0.1,1,1.0,0.45,0.67
Group_131,0.7,0.36,1,0.5,0.7,0.09,1,1.0,0.7,0,1,1.0,0.7,0.67,1,1.0,0.7,0.51,1,1.0,0.7,0.1,1,1.0,0.46,0.67
Group_132,0.7,0.09,1,1.0,0.7,0.49,1,1.0,1.0,0.99,1,1.0,0,0,1,1.0,0.7,0.1,1,1.0,0,0.18,1,1.0,0.48,1.0
Group_133,0.7,0.49,1,1.0,1.0,0.76,1,1.0,0,0,0,1.0,0,0,1,0.5,0.7,0.32,1,1.0,0,0,1,1.0,0.52,1.0
Group_134,0.7,0.09,1,1.0,0.7,0.49,1,1.0,1.0,0.43,1,1.0,0,0,1,1.0,0.7,0.49,1,1.0,0.7,0.32,1,1.0,0.48,1.0
Group_135,0,0,1,1.0,0,0.02,1,0.5,0,0,1,1.0,0,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.48,0.33
Group_136,0.7,0.51,1,1.0,0.7,0.1,1,1.0,0,0,0,0.5,0,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.46,1.0
Group_137,0.7,0.09,1,1.0,0.7,0.49,1,1.0,1.0,0.99,1,1.0,0,0,1,1.0,0.7,0.49,1,1.0,0.7,0.32,1,1.0,0.57,1.0
Group_138,0,0,1,1.0,0,0.02,1,0.5,0,0,1,1.0,0,0,1,1.0,0.7,0.24,1,1.0,0.7,0.27,1,1.0,0.44,0
Group_139,0.7,0.51,1,1.0,0.7,0.1,1,1.0,0,0,0,0.5,0,0,1,1.0,0.7,0.24,1,1.0,0.7,0.27,1,1.0,0.5,0
Group_140,0.7,0.32,1,1.0,0.7,0.07,1,1.0,0,0,1,0.5,0.7,0,1,1.0,1.0,0.91,1,1.0,0.7,0.04,1,0.5,0.39,1.0
Group_141,0,0.23,1,1.0,0.7,0.43,1,1.0,0,0,1,1.0,1.0,0.74,1,1.0,0.7,0.23,1,1.0,0,0.2,1,1.0,0.44,1.0
Group_142,0.7,0.32,1,1.0,0.7,0.07,1,1.0,0.7,0,1,1.0,0.7,0,1,1.0,1.0,0.91,1,1.0,0.7,0.04,1,0.5,0.43,0
Group_143,0.7,0.43,1,1.0,0.7,0.32,1,1.0,1.0,0.74,1,1.0,0.7,0,1,1.0,0,0.2,1,1.0,1.0,0.3,1,1.0,0.44,0.67
Group_144,0.7,0.26,1,1.0,0.7,0.23,1,1.0,1.0,0.01,1,1.0,0.7,0.67,1,1.0,0.7,0.51,1,1.0,0.7,0.1,1,1.0,0.48,0.67
